id,owner,title,Date taken,tags,latitude,longitude
28982517225,58887166@N02,Confederate Cavalry,1471164180,spetchley england unitedkingdom gb re enactment,52.181455,-2.158164
28877376272,58887166@N02,British Napoleonic charge,1471162080,spetchley england unitedkingdom gb re enactment,52.18183,-2.157923
28877376982,58887166@N02,Napoleon Bonaparte somewhat overconfident,1471161840,spetchley england unitedkingdom gb re enactment,52.181822,-2.1579
28906067421,58887166@N02,French rabble,1471161720,spetchley england unitedkingdom gb re enactment,52.18183,-2.157903
28950242376,58887166@N02,Horseback Duel,1471161540,spetchley england unitedkingdom gb re enactment,52.181816,-2.157875
28950243256,58887166@N02,White v Black,1471161540,spetchley england unitedkingdom gb re enactment,52.181813,-2.157875
28950243576,58887166@N02,To Horse!,1471161480,spetchley england unitedkingdom gb re enactment,52.181816,-2.157881
28950244656,58887166@N02,The French artillery light the fuse,1471161240,spetchley england unitedkingdom gb re enactment,52.181838,-2.157931
28950244876,58887166@N02,Surely he can't miss from there?,1471161120,spetchley england unitedkingdom gb re enactment,52.181838,-2.157906
28950245276,58887166@N02,Russian commander,1471158720,spetchley england unitedkingdom gb re enactment,52.181638,-2.158078
28950245846,58887166@N02,British Heavy infantry with Rifleman,1471158600,spetchley england unitedkingdom gb re enactment,52.181627,-2.158053
28950246656,58887166@N02,Crimean skirmish,1471158540,spetchley england unitedkingdom gb re enactment,52.181638,-2.158109
28950246866,58887166@N02,A right knees up,1471157160,spetchley england unitedkingdom gb re enactment,52.181697,-2.158523
29321665390,58887166@N02,Matthew at Lords,1473497160,,51.529598,-0.172905
28984542064,58887166@N02,The Lords slope - 102 inches,1473498540,,51.529598,-0.172905
29610190515,58887166@N02,Lords Media Centre with non reflective glass,1473498000,,51.529598,-0.172905
29529386371,58887166@N02,Lords Panorama,1473497160,,51.529598,-0.172905
28984515054,58887166@N02,Photo Mosaic celebrating Lords 200th anniversary,1473496440,,51.529598,-0.172905
29319828810,58887166@N02,The Ashes Urn,1473491580,,51.529598,-0.172905
29529363051,58887166@N02,MCC Museum stained glass window,1473491400,,51.529598,-0.172905
22504425783,58887166@N02,"Yarra River from Princes bridge, Melbourne",1445635920,melbourne victoria australia,-37.819545,144.968238
22707215757,58887166@N02,"Statue at Captian Cook's Cottage, Fitzroy Gardens, Melbourne",1445633460,statues australia,0,0
22503004294,58887166@N02,Fitzroy gardens Conservatory,1445631780,flowers eastmelbourne victoria australia,-37.813987,144.978513
22707270527,58887166@N02,Melbourne Tram,1445630340,melbourne victoria australia,-37.80987,144.963597
22707295737,58887166@N02,Just Visiting,1445624460,australia,0,0
23111828352,58887166@N02,"London Arch, Great Ocean Road, VIC",1445564760,portcampbell victoria australia,-38.622253,142.931719
23099745906,58887166@N02,Great Ocean Road Panorama,1445560140,panorama portcampbell victoria australia,-38.649084,143.072952
23125867405,58887166@N02,Great Ocean Road,1445560080,portcampbell victoria australia,-38.649095,143.072955
22707364737,58887166@N02,Great Ocean Road Apostles,1445559840,portcampbell victoria australia,-38.649314,143.072305
22733582099,58887166@N02,"Loch Ard Gorge, Great Ocean Road",1445559360,portcampbell victoria australia,-38.647856,143.072655
23125928965,58887166@N02,Apostles view,1445556180,princetown victoria australia,-38.665928,143.104541
22707515498,58887166@N02,12 Apostles,1445555640,princetown victoria australia,-38.664042,143.104108
22503215094,58887166@N02,Great Ocean Road Entrance,1445540160,statues easternview victoria australia,-38.471987,144.044694
22707486847,58887166@N02,"Block Arcade, Melbourne",1445477040,australia,0,0
22707511687,58887166@N02,Wall of flowers,1445475600,streetart australia,0,0
23126080805,58887166@N02,Your Bass-ic Stormtrooper,1445475480,streetart australia,0,0
22503480144,58887166@N02,Panning for Gold. Last attempted 42 years ago.,1445461740,mining goldenpoint victoria australia,-37.575937,143.866725
22707769237,58887166@N02,Soverign Hill mine view,1445459400,goldenpoint victoria australia,-37.577259,143.865827
23126331415,58887166@N02,The Postman always rings quite a few times,1445386260,eganstown victoria australia,-37.358073,144.0738
22734015329,58887166@N02,Lake Daylesford Panorama,1445383140,panorama daylesford victoria australia,-37.347773,144.137338
23112358632,58887166@N02,Blasting Caps 70 metres underground,1445370720,mining australia,0,0
23137974181,58887166@N02,"Chancery Lane graffiti, Bendigo",1445318940,streetart australia,0,0
23137989541,58887166@N02,Tears outside Bendigo Art gallery,1445298060,streetart bendigo victoria australia,-36.756892,144.277172
23126527085,58887166@N02,Pall Mall Bendigo VIC,1445296260,bendigo victoria australia,-36.758906,144.279077
22708143258,58887166@N02,MV Canberra,1445282760,moama newsouthwales australia,-36.118695,144.747508
22708097437,58887166@N02,Pelican Crossing,1445282220,wildlife echuca victoria australia,-36.121337,144.748122
