26619874054 66538459@N00 Forrest of Nicene Mark Waterfall 1463905140 beautiful dressing wife 37.044322-121.900348
26921818010 66538459@N00 Serrena at beach 1463894340  36.970809-121.954464
26921820560 66538459@N00 Capitola Pier 1463894160 ocean california beach water beautiful hair berkeley pier pretty anniversary gorgeous mexican mature german stunning wife venetian brunette lovely capitola 40s syrian 36.970998-121.953735
27196660615 66538459@N00 The Venetian 1463890500  36.971885-121.952952

26335631233 66538459@N00 Pam Cox 1462692480  37.568392-122.021498
26335632873 66538459@N00 Inspecting the hive for a queen 1462691400  37.568392-122.021498
26940307245 66538459@N00 3 beekeepers 1462691280  37.568392-122.021498
26940306935 66538459@N00 IMG_9851 1462691100  37.568392-122.021498
26841365242 66538459@N00 _MG_0183_pp 1462619580  37.795947-122.482609
26901903366 66538459@N00 Serrena at Baker Beach 1462619520  37.795947-122.482609
26666774690 66538459@N00 Sean at Baker Beach 1462619040  37.795947-122.482609
26329947474 66538459@N00 _MG_0098_pp 1462618980  37.795947-122.482609
26666777450 66538459@N00 Baker Beach 1462618860  37.795947-122.482609
26900384095 66538459@N00 _MG_0069 1462618740  37.795947-122.482609
26872239221 66538459@N00 Golden Gate Windmill 1462611720  37.770443-122.509435
26940318245 66538459@N00 Golden Gate Windmill 1462611480  37.770443-122.509435
26833021151 66538459@N00 Wall of graffiti with the Pacific Ocean behind her 1462608780  37.795947-122.482609
26296053073 66538459@N00 Serrena at Baker Beach in San Francisco 1462608780  37.795947-122.482609

26696890421 66538459@N00 Serrena and Ben enjoying the backyard.  10 fruit trees and the yard is done. 1462114140  37.568392-122.021498
26619885482 66538459@N00 Finally took out the rats nests.  No more Italian cypress trees. 1461895920  37.568392-122.021498
26106823274 66538459@N00 Finally took out the rats nests.  No more Italian cypress trees. 1461847980  37.568392-122.021498

26105990220 66538459@N00 Our old queens were producing sloppy cone and fairly aggressive bees.  We executed them and replaced them with some nice chill Italian queens.  Some of that honey now gets converted to honey wine and the entire hive is much more relaxed. :) 1460373540  37.568392-122.021498
26378819085 66538459@N00 The old queen 1460368860  37.568392-122.021498
26378810075 66538459@N00 Adding the new queen to the hive.  A nice relaxed Italian. 1460368860  37.568392-122.021498
25776101493 66538459@N00 Serrena hunting for the old queen 1460367540  37.568392-122.021498
26352945176 66538459@N00 2016-04-11_04-50-38 1460367480  37.568392-122.021498
25776115383 66538459@N00 Looking through another frame for the queen. 1460367240  37.568392-122.021498

26145425252 66538459@N00 Castle Rock 1459596840  37.877356-121.9837
25964951690 66538459@N00 Hiking in Castle Rock 1459595580  37.877356-121.9837
25635171703 66538459@N00 Hiking in Castle Rock 1459595520  37.877356-121.9837
26171561851 66538459@N00 Castle Rock Hike 1459595220  37.877356-121.9837
26211957216 66538459@N00 Castle Rock Hiking Trail 1459595040  37.877356-121.9837
25635196023 66538459@N00 Castle Rock 1459595040  37.877356-121.9837
26211952776 66538459@N00 Castle Rock 1459594980 beautiful pretty gorgeous lovely 37.877356-121.9837

25519782153 66538459@N00 Solar Panels in Fremont 1459243560  37.568392-122.021498
26074682611 66538459@N00 First frame from the hive 1458919740  37.568392-122.021498
26141014485 66538459@N00 Serrena and Ben moving boxes 1458890160  37.568392-122.021498

25357928634 66538459@N00 _MG_9702 1458565800  37.482687-121.924949
25964724996 66538459@N00 _MG_9701 1458565800  37.482687-121.924949
25895687641 66538459@N00 _MG_9700 1458565800  37.482687-121.924949
25990638145 66538459@N00 _MG_9696 1458565740  37.482687-121.924949
25690094100 66538459@N00 Eagle Scout Badge 1458565740  37.482687-121.924949
