id,owner,title,Date taken,tags,latitude,longitude
28982517225,58887166@N02,Confederate Cavalry,14-08-2016 14:13,spetchley england unitedkingdom gb re enactment,52.181455,-2.158164
28877376272,58887166@N02,British Napoleonic charge,14-08-2016 13:38,spetchley england unitedkingdom gb re enactment,52.18183,-2.157923
28877376982,58887166@N02,Napoleon Bonaparte somewhat overconfident,14-08-2016 13:34,spetchley england unitedkingdom gb re enactment,52.181822,-2.1579
28906067421,58887166@N02,French rabble,14-08-2016 13:32,spetchley england unitedkingdom gb re enactment,52.18183,-2.157903
28950242376,58887166@N02,Horseback Duel,14-08-2016 13:29,spetchley england unitedkingdom gb re enactment,52.181816,-2.157875
28950243256,58887166@N02,White v Black,14-08-2016 13:29,spetchley england unitedkingdom gb re enactment,52.181813,-2.157875
28950243576,58887166@N02,To Horse!,14-08-2016 13:28,spetchley england unitedkingdom gb re enactment,52.181816,-2.157881
28950244656,58887166@N02,The French artillery light the fuse,14-08-2016 13:24,spetchley england unitedkingdom gb re enactment,52.181838,-2.157931
28950244876,58887166@N02,Surely he can't miss from there?,14-08-2016 13:22,spetchley england unitedkingdom gb re enactment,52.181838,-2.157906
28950245276,58887166@N02,Russian commander,14-08-2016 12:42,spetchley england unitedkingdom gb re enactment,52.181638,-2.158078
28950245846,58887166@N02,British Heavy infantry with Rifleman,14-08-2016 12:40,spetchley england unitedkingdom gb re enactment,52.181627,-2.158053
28950246656,58887166@N02,Crimean skirmish,14-08-2016 12:39,spetchley england unitedkingdom gb re enactment,52.181638,-2.158109
28950246866,58887166@N02,A right knees up,14-08-2016 12:16,spetchley england unitedkingdom gb re enactment,52.181697,-2.158523
29321665390,58887166@N02,Matthew at Lords,10-09-2016 14:16,,51.529598,-0.172905
28984542064,58887166@N02,The Lords slope - 102 inches,10-09-2016 14:39,,51.529598,-0.172905
29610190515,58887166@N02,Lords Media Centre with non reflective glass,10-09-2016 14:30,,51.529598,-0.172905
29529386371,58887166@N02,Lords Panorama,10-09-2016 14:16,,51.529598,-0.172905
28984515054,58887166@N02,Photo Mosaic celebrating Lords 200th anniversary,10-09-2016 14:04,,51.529598,-0.172905
29319828810,58887166@N02,The Ashes Urn,10-09-2016 12:43,,51.529598,-0.172905
29529363051,58887166@N02,MCC Museum stained glass window,10-09-2016 12:40,,51.529598,-0.172905
22504425783,58887166@N02,"Yarra River from Princes bridge, Melbourne",24-10-2015 03:02,melbourne victoria australia,-37.819545,144.968238
22707215757,58887166@N02,"Statue at Captian Cook's Cottage, Fitzroy Gardens, Melbourne",24-10-2015 02:21,statues australia,0,0
22503004294,58887166@N02,Fitzroy gardens Conservatory,24-10-2015 01:53,flowers eastmelbourne victoria australia,-37.813987,144.978513
22707270527,58887166@N02,Melbourne Tram,24-10-2015 01:29,melbourne victoria australia,-37.80987,144.963597
22707295737,58887166@N02,Just Visiting,23-10-2015 23:51,australia,0,0
23111828352,58887166@N02,"London Arch, Great Ocean Road, VIC",23-10-2015 07:16,portcampbell victoria australia,-38.622253,142.931719
23099745906,58887166@N02,Great Ocean Road Panorama,23-10-2015 05:59,panorama portcampbell victoria australia,-38.649084,143.072952
23125867405,58887166@N02,Great Ocean Road,23-10-2015 05:58,portcampbell victoria australia,-38.649095,143.072955
22707364737,58887166@N02,Great Ocean Road Apostles,23-10-2015 05:54,portcampbell victoria australia,-38.649314,143.072305
22733582099,58887166@N02,"Loch Ard Gorge, Great Ocean Road",23-10-2015 05:46,portcampbell victoria australia,-38.647856,143.072655
23125928965,58887166@N02,Apostles view,23-10-2015 04:53,princetown victoria australia,-38.665928,143.104541
22707515498,58887166@N02,12 Apostles,23-10-2015 04:44,princetown victoria australia,-38.664042,143.104108
22503215094,58887166@N02,Great Ocean Road Entrance,23-10-2015 00:26,statues easternview victoria australia,-38.471987,144.044694
22707486847,58887166@N02,"Block Arcade, Melbourne",22-10-2015 06:54,australia,0,0
22707511687,58887166@N02,Wall of flowers,22-10-2015 06:30,streetart australia,0,0
23126080805,58887166@N02,Your Bass-ic Stormtrooper,22-10-2015 06:28,streetart australia,0,0
22503480144,58887166@N02,Panning for Gold. Last attempted 42 years ago.,22-10-2015 02:39,mining goldenpoint victoria australia,-37.575937,143.866725
22707769237,58887166@N02,Soverign Hill mine view,22-10-2015 02:00,goldenpoint victoria australia,-37.577259,143.865827
23126331415,58887166@N02,The Postman always rings quite a few times,21-10-2015 05:41,eganstown victoria australia,-37.358073,144.0738
22734015329,58887166@N02,Lake Daylesford Panorama,21-10-2015 04:49,panorama daylesford victoria australia,-37.347773,144.137338
23112358632,58887166@N02,Blasting Caps 70 metres underground,21-10-2015 01:22,mining australia,0,0
23137974181,58887166@N02,"Chancery Lane graffiti, Bendigo",20-10-2015 10:59,streetart australia,0,0
23137989541,58887166@N02,Tears outside Bendigo Art gallery,20-10-2015 05:11,streetart bendigo victoria australia,-36.756892,144.277172
23126527085,58887166@N02,Pall Mall Bendigo VIC,20-10-2015 04:41,bendigo victoria australia,-36.758906,144.279077
22708143258,58887166@N02,MV Canberra,20-10-2015 00:56,moama newsouthwales australia,-36.118695,144.747508
22708097437,58887166@N02,Pelican Crossing,20-10-2015 00:47,wildlife echuca victoria australia,-36.121337,144.748122
22734294399,58887166@N02,Lake Mulwala's Underwater Forest,19-10-2015 05:59,panorama australia,0,0
22734299329,58887166@N02,Lake Mulwala high speed wildlife,19-10-2015 05:57,wildlife australia,0,0
23112646802,58887166@N02,Siege Street Glenrowan VIC,19-10-2015 03:37,australia,0,0
23112682892,58887166@N02,The Road to Beechworth,19-10-2015 01:11,yackandandah victoria australia,-36.289253,146.817572
22708289348,58887166@N02,Frames in Yackandandah,19-10-2015 01:08,streetart yackandandah victoria australia,-36.313087,146.840669
23100662826,58887166@N02,Meditation,19-10-2015 01:02,yackandandah victoria australia,-36.31287,146.839794
22504045924,58887166@N02,Slow going in Albury,18-10-2015 23:37,streetart albury newsouthwales australia,-36.080689,146.917502
23126844405,58887166@N02,Two go to Holbrook,18-10-2015 06:12,holbrook newsouthwales australia,-35.718195,147.316594
22504104714,58887166@N02,"Telstra Tower, Canberra ACT",18-10-2015 01:21,canberra australiancapitalterritory australia,-35.274906,149.09765
